name,description,thumbnail_url,original_video_url,total_time_minutes
Low-Carb Avocado Chicken Salad,"This chicken salad is a lunchtime delight! Packed with creamy avocado, tender chicken, and crunchy veggies, it's a healthy and satisfying meal that won't weigh you down. Tossed in a tangy yogurt dressing with a hint of spice, it's a flavor explosion that's perfect for a light meal.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://s3.amazonaws.com/video-api-prod/assets/a0e1b07dc71c4ac6b378f24493ae2d85/FixedFBFinal.mp4,15
Blueberry Cream Muffins,,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/4e9524578f544c888af761e10630593b.jpeg,,35
Cinnamon Roll Cheesecake,"Get ready for a dessert extravaganza with this cinnamon roll cheesecake! Creamy cheesecake filling is baked atop a cinnamon roll crust with a swirl of cinnamon sugar and a final icing glaze for an extra-sweet touch. With all the flavors of a classic cinnamon roll in a decadent cheesecake form, it's a showstopper that'll have everyone asking for seconds!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/858de8a1025d44a69641254e25bde14a.png,,0
Tomato And Anchovy Pasta,"Savor the bold flavors of this Tomato and Anchovy Pasta, a perfect weeknight meal that's both simple and satisfying. With a zesty tomato sauce and umami-packed anchovies, this dish will have your taste buds dancing in no time!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/216182.jpg,https://s3.amazonaws.com/video-api-prod/assets/85b5dc4294914e6b80ba2f128aaaa023/FB.mp4,0
Browned “Butter” Chocolate Chip Cookies,"Don’t worry if you’re skipping the eggs and butter–these vegan chocolate chip cookies are out of this world! Make them for friends and family, or just for yourself. You won’t be sorry you did!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/249914.jpg,https://s3.amazonaws.com/video-api-prod/assets/a47a5576451941b591b50f38d051da8a/VeganBrownedButterCHocolateChipCookiesFBFinal.mp4,65
2-Ingredient Pasta,"This 2-ingredient pasta is a quick and easy dinner option, with pasta and your favorite jarred sauce.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/97761.jpg,https://s3.amazonaws.com/video-api-prod/assets/c3bb47cc8b8947e1b558ff2d2213e23b/fb_2.mp4,260
Nut-Free Macarons,"These macarons are a sweet and delicate treat that are perfect for anyone with a nut allergy. Made with a crispy shell and a creamy filling, they're a perfect afternoon snack or dessert.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/8230d427f6b648e9ae0cfbcbea9d6877.jpeg,,80
Savory Lasagna,"Dive into layers of savory goodness with this classic comfort food! Tender pasta sheets are layered with a hearty meat sauce, rich cheese, and aromatic herbs and spices, all baked to perfection until bubbly and golden. It's a dish that's perfect for sharing with family and friends, and guaranteed to satisfy your cravings!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/8a0ce26532fa4a47bd082e815ca49ad6.jpeg,,0
Creamy Cajun Pasta,"Say hello to a taste of the bayou with this creamy Cajun pasta! Savory sausage and a bevy of vegetables get a spicy kick with a Cajun-inspired seasoning blend, all tossed in a luscious creamy sauce. Best of all, it all comes together in just one pot for easy prep and clean-up!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/6d9b54963ad9442aa9320076a7bbf0bf.jpeg,,0
100-Layer Lasagna,"You won't believe your eyes when you see this 100-layer lasagna! It's a tower of deliciousness filled with layers of pasta, meat sauce, ricotta cheese, and mozzarella cheese. It's like a work of art that you can eat!",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/150087.jpg,https://s3.amazonaws.com/video-api-prod/assets/d6ca0a1f356141049705f49d48aecc5d/BFV35527_100LayerLasagna-FBFINAL.mp4,450
Vegan Butternut Squash Al Pastor Tacos,"Al pastor’s signature red-hued marinade produces flavorful bites of whatever it coats. Traditionally used to marinate meat, you can also enjoy the same punch of flavor with a vegan alternative. Here, we use butternut squash for its hearty texture and subtle sweetness, which play well with the warm al pastor spices.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/251104.jpg,https://s3.amazonaws.com/video-api-prod/assets/6145380ba30c47da9f34d0f0304a8d48/veganalpastor_OO_cut1.mp4,65
Jacket Potato: The Pizazz,This potato encompasses the perfect balance of salty and sweet with bacon bits and a drizzle of maple syrup. It'll hit every craving! ,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207441.jpg,https://s3.amazonaws.com/video-api-prod/assets/6148d1c2359547f3bd41185226cfdbc8/S5A-Pizazz.mp4,50
Organic Quinoa Rice Cakes With Mediterranean Chicken,"Get ready for a protein-packed delight with this Mediterranean-inspired dish! Crispy quinoa rice cakes topped with tender and juicy Mediterranean-spiced chicken, tomatoes, and briny kalamata olives. It's a wholesome and satisfying meal that's perfect for a healthy and delicious dinner.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/dc1f22377e8c4b26b070a6ba4f2a3079/Mediterranean_FB.jpg,https://s3.amazonaws.com/video-api-prod/assets/3a75cf76647940a498fa4786aa4bd7a1/Mediterranean_FB.mp4,0
Jacket Potato: The Old Fashioned,"Bring back some nostalgia with this old fashioned jacket potato recipe, featuring buttery and tender potatoes that are smothered in cheese and cooked to perfection.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207429.jpg,https://s3.amazonaws.com/video-api-prod/assets/d81c5f662b3d4b26be60952bb8e03102/R5D-OldFashioned.mp4,50
How To Make A Fresh Seacuterie Board,"This seacuterie board is sure to make a splash at your next dinner party. From shrimp and seaweed salad to octopus and oranges, have fun with your favorite seafood and side bites. Then present them on a sheet pan for easy serving. Plus, learn how to shuck your own oysters.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/258751.jpg,https://s3.amazonaws.com/video-api-prod/assets/3f615cd1ae3d4f538d0d6e22a66c77ae/seacuterie_OO_03172020.mp4,905
Sweet Potato Lentil Curry,,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/c393205fd7214635b0a6d531f475e498.jpeg,,33
Jazzy Shrimp And Grits,This content is intended solely for users of legal drinking age. Drink responsibly.,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/0bb8372ebc424cdda4253b025857832b.jpeg,,0
50 Garlic Clove Potatoes Au Gratin,Rich and creamy potatoes au gratin with extra depth of flavor from tons of roasted garlic. This is the perfect dish to amp up an Easter spread or pair with a roast that creates minimal dirty dishes!,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/488009.jpg,https://s3.amazonaws.com/video-api-prod/assets/f513742effd745d79da2f1e36d75db4e/BFV114097_GarlicGirlieEp13_9x16_JP_032224_V5_1.mp4,130
Jazzy Fried Chicken,"The chicken is marinated in a flavorful blend of spices, buttermilk, and hot sauce, ensuring each crispy bite is packed with a punch of flavor. Whether you're serving it up for a backyard barbecue or a cozy dinner at home, this fried chicken will have you tapping your toes and craving seconds in no time. So, grab your apron and get ready to fry up some finger-lickin' goodness that'll have everyone singing your praises!",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/619a0c50f6bb4b2f9ef84913213cf80e.jpeg,,0
Milkshake: The Tiffany,"Indulge in a sweet treat with this milkshake, featuring vanilla ice cream and chunks of chocolate candy blended together. Topped with sprinkles and caramel sauce, this milkshake is a classic favorite.",https://s3.amazonaws.com/video-api-prod/assets/d2c17c0aa6a341ad861484f1ca93c3e0/M5D.jpg,https://s3.amazonaws.com/video-api-prod/assets/cb74d638a2a44148a2ded8d65c2d35fe/M5D_End.mp4,0
Savoury Spaghetti With Meatballs,"Satisfy your cravings with this savory spaghetti and meatball dish that's bursting with flavor. This classic comfort food, inspired by Tasty.co and Rachel Ray, will have your taste buds dancing and your family asking for seconds.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/392f314a2b3f4361aee4e04772b86135.jpeg,,0
Hearty Lamb Chops With Couscous,"This dish is a delicious and hearty way to enjoy the rich and tender flavors of lamb chops! The chops are seasoned with a blend of aromatic spices, marinated and seared to  juicy perfection, then served on a bed of fluffy and flavorful couscous. It's a perfect combination of textures and flavors that will leave your taste buds satisfied and your stomach full.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/f24013ba59d142d0b849ec53de93c96e.jpeg,,0
Hummus Caesar Salad,"Vegan caesar has never been easier thanks to this time saving hack! Using hummus as the base of the dressing gives you richness while being both nut and dairy free. Adjust the consistency to your liking by adding more hummus for a thicker dressing or more water for thinner. This dressing is packed with flavor thanks to brininess from the capers, cheesiness from the nutritional yeast, and umami from the miso. ",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/31c7c2021bee4fc4b108aee4b65f7281.jpeg,,10
Milkshake: The Caramel Alon,"This milkshake is the ultimate indulgence, with rich candy pieces swirled throughout and a generous drizzle of caramel sauce on top. It's perfect for satisfying your sweet tooth and cooling off on a hot day.",https://s3.amazonaws.com/video-api-prod/assets/1213b1813b4745d09ca0da1a065eb0b3/M5A.jpg,https://s3.amazonaws.com/video-api-prod/assets/af42f4059cc04560ac62809744b44514/M5B_End.mp4,0
Instant Energy Ginger Citrus Spritz,This content is intended solely for users of legal drinking age. Drink responsibly.,https://s3.amazonaws.com/video-api-prod/assets/eca306b2eb26452f9a59cc2b74b5850b/citrus.jpg,https://s3.amazonaws.com/video-api-prod/assets/4edb52fbf19e41a3ba5bc4cc8bf4fe1c/OO_Ginger.mp4,0
Zesty One-Pot Chicken Bake,This dish is a flavorful and easy way to create a hearty and delicious meal all in one pot! Tender chicken thighs are baked to juicy perfection with a medley of colorful veggies and seasoned with zesty lemon and basil. It's a perfect combination of flavors and textures that will leave your taste buds dancing and your family satisfied.,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/29b4e18e76ec4535a8d5fb7e21841f4f.jpeg,,0
Hot Chocolate: The Undercover Lover,This hot chocolate recipe features a combination of milk and dark chocolate for a rich and decadent flavor. It's perfect for chocolate lovers who want a luxurious and indulgent drink.,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/244852.jpg,https://s3.amazonaws.com/video-api-prod/assets/ee6f9488eaf24ca7b81a9e294942e672/C4E.mp4,20
Relaxation Chamomile Lavender Hot Toddy,This content is intended solely for users of legal drinking age. Drink responsibly.,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/212475.jpg,https://s3.amazonaws.com/video-api-prod/assets/356ae8452c5949ffa0033814aa2ccb47/OO_Chamomile.mp4,0
Jacket Potato: The Spud & Mighty,"This spud mighty jacket potato is a hearty and satisfying meal, packed with your favorite toppings all fixed in a crispy potato skin.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207431.jpg,https://s3.amazonaws.com/video-api-prod/assets/24cd36b13fd04188b6bbb29b9ae502a0/R5-SpudandMighty.mp4,50
Jacket Potato: The PSI (Peanut Sprinkle Ice Cream),"Sweet pumpkin bittle, creamy sweet potato, and some rainbow goodness all married for the perfect fall-time treat. ",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207458.jpg,https://s3.amazonaws.com/video-api-prod/assets/f0f4b9b1aff44dcabba3ace4f286919e/S5F-YouExtra.mp4,50
Roasted Tomato Soup And Grilled Cheese,"It's comfort food at its finest with this classic duo–roasted tomato soup and grilled cheese sandwiches! Sweet, tangy tomatoes are roasted to perfection, then blended into a velvety soup that's full of flavor. Paired with gooey, melty grilled cheese sandwiches oozing with cheesy goodness, it's the ultimate combination that'll warm your heart and soul.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/413287c488a744c5a2b8ea5b07edd636.jpeg,,0
Breyers® Ice Cream Tea Party,,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/284763.jpg,https://s3.amazonaws.com/video-api-prod/assets/538c645683e444cfbc1954aa7c2a9523/UNILEVER_BREYERS_IceCreamTeaParty_YT.mp4,180
Delicious Pie Bar: Cloud Candy Pie,,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/215644.jpg,https://s3.amazonaws.com/video-api-prod/assets/6646dce316184212a76c3ad3d7c697ca/G4B_BEAUTY.mp4,0
The Best Pumpkin Pancakes,,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/c1d4b7966a9140218608499c5a99f5c1.jpeg,,35
Breakfast Waffle: The Expert Brunch-er,"The crispy waffle base is topped with a medley of sweet and tart mixed berries, a generous swirl of whipped cream, and a drizzle of pure maple syrup. The finishing touch of rainbow sprinkles adds a fun and colorful twist to this sophisticated breakfast. With every bite, you'll experience a delightful balance of flavors and textures.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/94215140fb3341fea90bbe187c94b484/B6A_End.jpg,https://s3.amazonaws.com/video-api-prod/assets/90f4e1df91cc4016a96d12f98bbeeb00/B6A_End.mp4,0
Tofu Buddha Bowl,"This Buddha bowl is a healthy and delicious way to fuel your body with wholesome ingredients. Packed with protein-rich tofu, nutrient-dense veggies, and fluffy quinoa, this bowl is a colorful feast for both your eyes and taste buds. The creamy peanut dressing adds the perfect finishing touch to this satisfying and nourishing meal.",https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/78fe6fc3f4bc41edbf75174aaa20618b.jpeg,,50
Jacket Potato: The Idealist,You can't go wrong with queso and chickpeas in this perfectly fluffy jacket potato!,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207437.jpg,https://s3.amazonaws.com/video-api-prod/assets/f5c45ecd1d2c4cb6be09879ce4a2b264/R5H-Idealist.mp4,50
Fiery Chicken Wings,The fiery chicken wings are a deliciously spicy finger food for any party or gathering.,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/657b903e39c1469dbfe801e60929bb21.jpeg,,0
Chocolate Pinata Cupcake: Candy Shop,,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/217589.jpg,https://s3.amazonaws.com/video-api-prod/assets/eeab7e5b76174782a76adb624afbbb25/09_B6B.mp4,0
Jacket Potato: The Canadian,"Sweet potatoes are the perfect base for a myriad of desserts, including the ice cream sundae! ",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/207449.jpg,https://s3.amazonaws.com/video-api-prod/assets/459b45b0b2224faa89e08cc8b2d1f49d/S5D-Canadian.mp4,50
